GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,White >> Male,White >> Female,Nonwhite: Slave >> Male,Nonwhite: Slave >> Female,Nonwhite: Free >> Male,Nonwhite: Free >> Female
"G3701930","1820","North Carolina","370","Wilkes","1930","Wilkes",4296,4337,583,608,70,73
"G3900010","1820","Ohio","390","Adams","0010","Adams",5358,4992,0,0,25,31
"G3900070","1820","Ohio","390","Ashtabula","0070","Ashtabula",3878,3493,0,0,3,1
"G3900090","1820","Ohio","390","Athens","0090","Athens",3266,3046,0,0,15,11
"G3900130","1820","Ohio","390","Belmont","0130","Belmont",10247,9855,0,0,113,114
"G3900150","1820","Ohio","390","Brown","0150","Brown",6501,6517,0,0,160,178
"G3900170","1820","Ohio","390","Butler","0170","Butler",11206,10382,0,0,78,80
"G3900210","1820","Ohio","390","Champaign","0210","Champaign",4366,3964,0,0,67,82
"G3900230","1820","Ohio","390","Clark","0230","Clark",4970,4521,0,0,27,15
"G3900250","1820","Ohio","390","Clermont","0250","Clermont",8090,7701,0,0,13,16
"G3900270","1820","Ohio","390","Clinton","0270","Clinton",4104,3935,0,0,24,22
"G3900290","1820","Ohio","390","Columbiana","0290","Columbiana",11238,10635,0,0,91,69
"G3900310","1820","Ohio","390","Coshocton","0310","Coshocton",3705,3362,0,0,8,11
"G3900350","1820","Ohio","390","Cuyahoga","0350","Cuyahoga",3377,2897,0,0,33,21
"G3900370","1820","Ohio","390","Darke","0370","Darke",1939,1760,0,0,8,10
"G3900410","1820","Ohio","390","Delaware","0410","Delaware",3986,3616,0,0,19,18
"G3900450","1820","Ohio","390","Fairfield","0450","Fairfield",8691,7920,0,0,9,13
"G3900470","1820","Ohio","390","Fayette","0470","Fayette",3250,3041,0,0,12,13
"G3900490","1820","Ohio","390","Franklin","0490","Franklin",5332,4708,0,0,68,64
"G3900530","1820","Ohio","390","Gallia","0530","Gallia",3603,3354,0,0,85,56
"G3900550","1820","Ohio","390","Geauga","0550","Geauga",4244,3541,0,0,6,0
"G3900570","1820","Ohio","390","Greene","0570","Greene",5366,5102,0,0,25,28
"G3900590","1820","Ohio","390","Guernsey","0590","Guernsey",4766,4474,0,0,30,22
"G3900610","1820","Ohio","390","Hamilton","0610","Hamilton",16262,14869,0,0,328,305
"G3900670","1820","Ohio","390","Harrison","0670","Harrison",7289,7028,0,0,21,7
"G3900710","1820","Ohio","390","Highland","0710","Highland",6256,5881,0,0,87,84
"G3900730","1820","Ohio","390","Hocking","0730","Hocking",1099,1031,0,0,0,0
"G3900770","1820","Ohio","390","Huron","0770","Huron",3678,2990,0,0,7,0
"G3900790","1820","Ohio","390","Jackson","0790","Jackson",1999,1711,0,0,18,18
"G3900810","1820","Ohio","390","Jefferson","0810","Jefferson",9462,8852,0,0,105,112
"G3900830","1820","Ohio","390","Knox","0830","Knox",4451,3855,0,0,10,10
"G3900870","1820","Ohio","390","Lawrence","0870","Lawrence",1819,1657,0,0,11,12
"G3900890","1820","Ohio","390","Licking","0890","Licking",6236,5587,0,0,21,17
"G3900910","1820","Ohio","390","Logan","0910","Logan",1639,1464,0,0,41,37
"G3900970","1820","Ohio","390","Madison","0970","Madison",2530,2247,0,0,12,10
"G3901030","1820","Ohio","390","Medina","1030","Medina",1723,1345,0,0,8,6
"G3901050","1820","Ohio","390","Meigs","1050","Meigs",2340,2137,0,0,0,3
"G3901090","1820","Ohio","390","Miami","1090","Miami",4573,4218,0,0,39,21
"G3901110","1820","Ohio","390","Monroe","1110","Monroe",2436,2198,0,0,6,5
"G3901130","1820","Ohio","390","Montgomery","1130","Montgomery",8279,7647,0,0,41,32
"G3901150","1820","Ohio","390","Morgan","1150","Morgan",2740,2542,0,0,5,10
"G3901190","1820","Ohio","390","Muskingum","1190","Muskingum",9470,8161,0,0,100,93
"G3901270","1820","Ohio","390","Perry","1270","Perry",4410,4001,0,0,6,12
"G3901290","1820","Ohio","390","Pickaway","1290","Pickaway",6748,6263,0,0,65,73
"G3901310","1820","Ohio","390","Pike","1310","Pike",2068,2063,0,0,63,59
"G3901330","1820","Ohio","390","Portage","1330","Portage",5396,4677,0,0,13,9
"G3901350","1820","Ohio","390","Preble","1350","Preble",5277,4928,0,0,20,12
"G3901390","1820","Ohio","390","Richland","1390","Richland",4897,4242,0,0,15,15
"G3901410","1820","Ohio","390","Ross","1410","Ross",10417,9700,0,0,233,269
"G3901430","1820","Ohio","390","Sandusky","1430","Sandusky",470,379,0,0,3,0
"G3901450","1820","Ohio","390","Scioto","1450","Scioto",2958,2756,0,0,21,15
"G3901490","1820","Ohio","390","Shelby","1490","Shelby",1114,983,0,0,5,4
"G3901510","1820","Ohio","390","Stark","1510","Stark",6500,5880,0,0,15,11
"G3901550","1820","Ohio","390","Trumbull","1550","Trumbull",8140,7352,0,0,38,12
"G3901570","1820","Ohio","390","Tuscarawas","1570","Tuscarawas",4299,4025,0,0,2,2
"G3901590","1820","Ohio","390","Union","1590","Union",1010,978,0,0,2,6
"G3901650","1820","Ohio","390","Warren","1650","Warren",9195,8455,0,0,121,66
"G3901670","1820","Ohio","390","Washington","1670","Washington",5359,4967,0,0,52,47
"G3901690","1820","Ohio","390","Wayne","1690","Wayne",6164,5769,0,0,0,0
"G3901730","1820","Ohio","390","Wood","1730","Wood",421,311,0,0,1,0
"G4200010","1820","Pennsylvania","420","Adams","0010","Adams",9500,9241,10,13,314,292
"G4200030","1820","Pennsylvania","420","Allegheny","0030","Allegheny",17875,16351,0,1,345,349
"G4200050","1820","Pennsylvania","420","Armstrong","0050","Armstrong",5279,5003,0,0,22,20
"G4200070","1820","Pennsylvania","420","Beaver","0070","Beaver",7802,7432,1,4,56,45
"G4200090","1820","Pennsylvania","420","Bedford","0090","Bedford",10312,9590,2,3,171,170
"G4200110","1820","Pennsylvania","420","Berks","0110","Berks",23287,22510,1,0,254,223
"G4200150","1820","Pennsylvania","420","Bradford","0150","Bradford",6052,5467,0,0,18,17
"G4200170","1820","Pennsylvania","420","Bucks","0170","Bucks",18417,18141,0,2,699,583
"G4200190","1820","Pennsylvania","420","Butler","0190","Butler",5385,4795,0,0,7,6
"G4200210","1820","Pennsylvania","420","Cambria","0210","Cambria",1685,1582,0,0,9,11
"G4200270","1820","Pennsylvania","420","Centre","0270","Centre",7082,6594,0,0,65,55
"G4200290","1820","Pennsylvania","420","Chester","0290","Chester",21270,20440,3,4,1492,1242
"G4200330","1820","Pennsylvania","420","Clearfield","0330","Clearfield",1307,1000,0,0,18,17
"G4200370","1820","Pennsylvania","420","Columbia","0370","Columbia",8955,8603,0,0,33,30
"G4200390","1820","Pennsylvania","420","Crawford","0390","Crawford",4900,4456,0,0,23,18
"G4200410","1820","Pennsylvania","420","Cumberland","0410","Cumberland",11622,11239,6,11,372,356
"G4200430","1820","Pennsylvania","420","Dauphin","0430","Dauphin",10738,10409,4,5,268,229
"G4200450","1820","Pennsylvania","420","Delaware","0450","Delaware",7001,6700,0,1,609,499
"G4200490","1820","Pennsylvania","420","Erie","0490","Erie",4527,3942,0,1,48,23
"G4200510","1820","Pennsylvania","420","Fayette","0510","Fayette",13475,12910,14,27,419,440
"G4200550","1820","Pennsylvania","420","Franklin","0550","Franklin",15641,14685,15,4,784,763
"G4200590","1820","Pennsylvania","420","Greene","0590","Greene",7784,7509,4,3,127,127
"G4200610","1820","Pennsylvania","420","Huntingdon","0610","Huntingdon",10231,9635,3,2,140,128
"G4200630","1820","Pennsylvania","420","Indiana","0630","Indiana",4463,4358,0,0,35,26
"G4200650","1820","Pennsylvania","420","Jefferson","0650","Jefferson",303,248,0,0,4,6
"G4200710","1820","Pennsylvania","420","Lancaster","0710","Lancaster",33112,32636,5,16,1117,1089
"G4200750","1820","Pennsylvania","420","Lebanon","0750","Lebanon",8527,8341,2,2,53,50
"G4200770","1820","Pennsylvania","420","Lehigh","0770","Lehigh",9616,9230,0,0,26,23
"G4200790","1820","Pennsylvania","420","Luzerne","0790","Luzerne",10670,9244,0,1,64,48
"G4200810","1820","Pennsylvania","420","Lycoming","0810","Lycoming",6695,6680,1,2,73,66
"G4200830","1820","Pennsylvania","420","McKean","0830","Mckean",416,311,0,0,0,1
"G4200850","1820","Pennsylvania","420","Mercer","0850","Mercer",5928,5662,0,1,49,41
"G4200870","1820","Pennsylvania","420","Mifflin","0870","Mifflin",8429,8012,3,2,97,75
"G4200910","1820","Pennsylvania","420","Montgomery","0910","Montgomery",17757,17159,1,2,481,393
"G4200950","1820","Pennsylvania","420","Northampton","0950","Northampton",16245,15320,0,0,109,91
"G4200970","1820","Pennsylvania","420","Northumberland","0970","Northumberland",7773,7537,0,1,59,54
"G4200990","1820","Pennsylvania","420","Perry","0990","Perry",5689,5527,0,1,37,30
"G4201010","1820","Pennsylvania","420","Philadelphia","1010","Philadelphia",58866,64880,3,4,5217,6667
"G4201030","1820","Pennsylvania","420","Pike","1030","Pike",1509,1330,1,0,29,21
"G4201050","1820","Pennsylvania","420","Potter","1050","Potter",96,89,0,0,1,0
"G4201070","1820","Pennsylvania","420","Schuylkill","1070","Schuylkill",5785,5431,0,0,51,44
"G4201110","1820","Pennsylvania","420","Somerset","1110","Somerset",7153,6735,0,0,45,41
"G4201150","1820","Pennsylvania","420","Susquehanna","1150","Susquehanna",5149,4761,0,0,22,28
"G4201170","1820","Pennsylvania","420","Tioga","1170","Tioga",2112,1892,0,0,8,9
"G4201190","1820","Pennsylvania","420","Union","1190","Union",9335,9210,2,1,34,37
"G4201210","1820","Pennsylvania","420","Venango","1210","Venango",2593,2294,0,0,13,15
"G4201230","1820","Pennsylvania","420","Warren","1230","Warren",1099,876,0,0,0,1
"G4201250","1820","Pennsylvania","420","Washington","1250","Washington",20075,19216,0,5,364,378
"G4201270","1820","Pennsylvania","420","Wayne","1270","Wayne",2149,1962,0,0,13,3
"G4201290","1820","Pennsylvania","420","Westmoreland","1290","Westmoreland",15691,14597,2,3,128,119
"G4201330","1820","Pennsylvania","420","York","1330","York",19256,18704,2,4,382,399
"G4400010","1820","Rhode Island","440","Bristol","0010","Bristol",2554,2779,0,2,149,153
"G4400030","1820","Rhode Island","440","Kent","0030","Kent",4767,5121,4,3,161,171
"G4400050","1820","Rhode Island","440","Newport","0050","Newport",7126,7764,11,17,354,498
"G4400070","1820","Rhode Island","440","Providence","0070","Providence",16692,17635,1,3,585,782
"G4400090","1820","Rhode Island","440","Washington","0090","Washington",7353,7622,2,5,338,363
"G4500010","1820","South Carolina","450","Abbeville","0010","Abbeville",6795,6693,4883,4732,42,22
"G4500110","1820","South Carolina","450","Barnwell","0110","Barnwell",4115,4047,3224,3112,157,95
"G4500130","1820","South Carolina","450","Beaufort","0130","Beaufort",2431,2248,13635,13704,100,81
"G4500190","1820","South Carolina","450","Charleston","0190","Charleston",9861,9515,28650,28571,1608,2007
"G4500230","1820","South Carolina","450","Chester","0230","Chester",4890,4721,2294,2248,20,16
"G4500250","1820","South Carolina","450","Chesterfield","0250","Chesterfield",2173,2239,1032,1030,91,80
"G4500290","1820","South Carolina","450","Colleton","0290","Colleton",2316,2025,11283,10487,153,140
"G4500310","1820","South Carolina","450","Darlington","0310","Darlington",3221,3186,2200,2273,34,35
"G4500370","1820","South Carolina","450","Edgefield","0370","Edgefield",6425,6439,6437,5761,26,31
"G4500390","1820","South Carolina","450","Fairfield","0390","Fairfield",4770,4608,3822,3926,20,28
"G4500430","1820","South Carolina","450","Georgetown","0430","Georgetown",945,885,7851,7695,116,111
"G4500450","1820","South Carolina","450","Greenville","0450","Greenville",5898,5119,1712,1711,52,38
"G4500510","1820","South Carolina","450","Horry","0510","Horry",1820,1748,731,703,15,8
"G4500550","1820","South Carolina","450","Kershaw","0550","Kershaw",2887,2741,3357,3335,47,65
"G4500570","1820","South Carolina","450","Lancaster","0570","Lancaster",2989,2859,1401,1397,39,31
"G4500590","1820","South Carolina","450","Laurens","0590","Laurens",6327,6428,2418,2460,37,12
"G4500630","1820","South Carolina","450","Lexington","0630","Lexington",2615,2652,1370,1431,8,7
"G4500670","1820","South Carolina","450","Marion","0670","Marion",3383,3269,1690,1773,45,41
"G4500690","1820","South Carolina","450","Marlboro","0690","Marlboro",1600,1650,1555,1478,64,78
"G4500710","1820","South Carolina","450","Newberry","0710","Newberry",5163,5014,2881,2868,85,93
"G4500750","1820","South Carolina","450","Orangeburg","0750","Orangeburg",3551,3209,4685,4144,30,34
"G4500755","1820","South Carolina","450","Pendleton","0755","Pendleton",11031,11109,2375,2340,94,73
"G4500790","1820","South Carolina","450","Richland","0790","Richland",2358,2141,3810,3817,101,94
"G4500830","1820","South Carolina","450","Spartanburg","0830","Spartanburg",6955,6700,1574,1734,15,11
"G4500850","1820","South Carolina","450","Sumter","0850","Sumter",4585,4259,7961,8182,187,195
"G4500870","1820","South Carolina","450","Union","0870","Union",5246,4540,2438,1840,31,31
"G4500890","1820","South Carolina","450","Williamsburg","0890","Williamsburg",1413,1382,2933,2931,36,21
"G4500910","1820","South Carolina","450","York","0910","York",5171,5080,2270,2320,43,52
"G4700010","1820","Tennessee","470","Anderson","0010","Anderson",2141,2154,163,186,15,9
"G4700030","1820","Tennessee","470","Bedford","0030","Bedford",6327,6007,1952,1638,49,39
"G4700070","1820","Tennessee","470","Bledsoe","0070","Bledsoe",1842,1774,177,184,15,13
"G4700090","1820","Tennessee","470","Blount","0090","Blount",5119,5035,559,491,27,27
"G4700130","1820","Tennessee","470","Campbell","0130","Campbell",2095,1998,55,61,20,15
"G4700190","1820","Tennessee","470","Carter","0190","Carter",2306,2178,177,168,2,4
"G4700250","1820","Tennessee","470","Claiborne","0250","Claiborne",2513,2588,213,164,14,16
"G4700290","1820","Tennessee","470","Cocke","0290","Cocke",2229,2180,193,275,13,2
"G4700370","1820","Tennessee","470","Davidson","0370","Davidson",6390,5676,4045,3854,109,80
"G4700430","1820","Tennessee","470","Dickson","0430","Dickson",1976,1885,667,638,10,14
"G4700510","1820","Tennessee","470","Franklin","0510","Franklin",6294,6044,1986,2181,35,31
"G4700550","1820","Tennessee","470","Giles","0550","Giles",4735,4537,1625,1636,16,9
"G4700570","1820","Tennessee","470","Grainger","0570","Grainger",3407,3394,334,317,95,104
"G4700590","1820","Tennessee","470","Greene","0590","Greene",5230,5235,415,414,10,20
"G4700650","1820","Tennessee","470","Hamilton","0650","Hamilton",387,379,20,19,10,6
"G4700710","1820","Tennessee","470","Hardin","0710","Hardin",679,638,81,55,4,5
"G4700730","1820","Tennessee","470","Hawkins","0730","Hawkins",4876,4432,659,672,151,159
"G4700810","1820","Tennessee","470","Hickman","0810","Hickman",2782,2589,311,389,8,1
"G4700850","1820","Tennessee","470","Humphreys","0850","Humphreys",1824,1698,264,278,2,1
"G4700870","1820","Tennessee","470","Jackson","0870","Jackson",3453,3281,341,409,56,53
"G4700890","1820","Tennessee","470","Jefferson","0890","Jefferson",4045,3985,453,439,18,13
"G4700930","1820","Tennessee","470","Knox","0930","Knox",5578,5548,877,948,48,35
"G4700990","1820","Tennessee","470","Lawrence","0990","Lawrence",1598,1468,96,108,1,0
"G4701030","1820","Tennessee","470","Lincoln","1030","Lincoln",6355,6151,1095,1155,4,1
"G4701070","1820","Tennessee","470","McMinn","1070","Mcminn",738,714,68,85,12,6
"G4701150","1820","Tennessee","470","Marion","1150","Marion",1877,1842,72,95,1,1
"G4701190","1820","Tennessee","470","Maury","1190","Maury",8037,7583,3148,3272,25,24
"G4701230","1820","Tennessee","470","Monroe","1230","Monroe",1220,1126,77,84,9,13
"G4701250","1820","Tennessee","470","Montgomery","1250","Montgomery",3867,3624,2231,2432,36,29
"G4701290","1820","Tennessee","470","Morgan","1290","Morgan",833,797,20,26,0,0
"G4701330","1820","Tennessee","470","Overton","1330","Overton",3255,3176,323,342,22,10
"G4701350","1820","Tennessee","470","Perry","1350","Perry",1141,1020,111,112,0,0
"G4701430","1820","Tennessee","470","Rhea","1430","Rhea",1980,1878,169,165,14,9
"G4701450","1820","Tennessee","470","Roane","1450","Roane",3618,3407,382,432,28,28
"G4701470","1820","Tennessee","470","Robertson","1470","Robertson",3875,3504,1328,1192,18,21
"G4701490","1820","Tennessee","470","Rutherford","1490","Rutherford",7183,6982,2556,2631,147,53
"G4701550","1820","Tennessee","470","Sevier","1550","Sevier",2245,2224,146,144,6,7
"G4701570","1820","Tennessee","470","Shelby","1570","Shelby",141,110,45,58,0,0
"G4701590","1820","Tennessee","470","Smith","1590","Smith",7096,6842,1741,1813,52,36
"G4701610","1820","Tennessee","470","Stewart","1610","Stewart",3475,3522,679,673,27,21
"G4701630","1820","Tennessee","470","Sullivan","1630","Sullivan",3126,2957,475,361,62,34
"G4701650","1820","Tennessee","470","Sumner","1650","Sumner",6820,6481,2842,2920,86,62
"G4701770","1820","Tennessee","470","Warren","1770","Warren",4866,4519,452,498,7,6
"G4701790","1820","Tennessee","470","Washington","1790","Washington",4255,4251,497,482,35,37
"G4701810","1820","Tennessee","470","Wayne","1810","Wayne",1248,1139,34,38,0,0
"G4701850","1820","Tennessee","470","White","1850","White",4096,3885,273,320,62,65
"G4701870","1820","Tennessee","470","Williamson","1870","Williamson",6967,6626,3460,3512,37,38
"G4701890","1820","Tennessee","470","Wilson","1890","Wilson",7460,7264,1850,1994,83,79
"G5000010","1820","Vermont","500","Addison","0010","Addison",10109,10241,0,0,58,61
"G5000030","1820","Vermont","500","Bennington","0030","Bennington",8006,8040,0,0,34,45
"G5000050","1820","Vermont","500","Caledonia","0050","Caledonia",8254,8387,0,0,9,19
"G5000070","1820","Vermont","500","Chittenden","0070","Chittenden",8176,7757,0,0,55,67
"G5000090","1820","Vermont","500","Essex","0090","Essex",1645,1629,0,0,3,7
"G5000110","1820","Vermont","500","Franklin","0110","Franklin",8799,8299,0,0,48,46
"G5000130","1820","Vermont","500","Grand Isle","0130","Grand Isle",1841,1677,0,0,4,5
"G5000170","1820","Vermont","500","Orange","0170","Orange",12267,12366,0,0,24,24
"G5000190","1820","Vermont","500","Orleans","0190","Orleans",3393,3547,0,0,18,18
"G5000210","1820","Vermont","500","Rutland","0210","Rutland",14883,14972,0,0,64,56
"G5000230","1820","Vermont","500","Washington","0230","Washington",7084,7007,0,0,7,8
"G5000250","1820","Vermont","500","Windham","0250","Windham",14024,14378,0,0,26,29
"G5000270","1820","Vermont","500","Windsor","0270","Windsor",18829,19236,0,0,88,80
"G5100010","1820","Virginia","510","Accomack","0010","Accomack",4598,4788,2274,2206,990,1110
"G5100030","1820","Virginia","510","Albemarle","0030","Albemarle",4453,4262,5619,5040,197,176
"G5100070","1820","Virginia","510","Amelia","0070","Amelia",1697,1710,3786,3614,86,101
"G5100090","1820","Virginia","510","Amherst","0090","Amherst",2335,2275,2817,2750,127,119
"G5100150","1820","Virginia","510","Augusta","0150","Augusta",6646,6317,1817,1695,144,123
"G5100170","1820","Virginia","510","Bath","0170","Bath",2012,1953,586,616,31,33
"G5100190","1820","Virginia","510","Bedford","0190","Bedford",5570,5383,4102,3939,153,158
"G5100195","1820","Virginia","510","Berkeley","0195","Berkeley",4634,4451,994,904,117,111
"G5100230","1820","Virginia","510","Botetourt","0230","Botetourt",5282,5211,1493,1313,145,145
"G5100237","1820","Virginia","510","Brooke","0237","Brooke",3172,3018,191,192,24,34
"G5100250","1820","Virginia","510","Brunswick","0250","Brunswick",2925,2964,5201,4880,394,323
"G5100290","1820","Virginia","510","Buckingham","0290","Buckingham",3653,3692,5138,4801,141,144
"G5100293","1820","Virginia","510","Cabell","0293","Cabell",2241,2147,206,186,2,7
"G5100310","1820","Virginia","510","Campbell","0310","Campbell",4286,4161,3718,3727,327,350
"G5100330","1820","Virginia","510","Caroline","0330","Caroline",3145,3352,5413,5586,227,259
"G5100360","1820","Virginia","510","Charles City","0360","Charles City",837,913,1531,1436,287,251
"G5100370","1820","Virginia","510","Charlotte","0370","Charlotte",2515,2490,4053,4071,74,87
"G5100410","1820","Virginia","510","Chesterfield","0410","Chesterfield",3822,3721,5007,4506,477,470
"G5100470","1820","Virginia","510","Culpeper","0470","Culpeper",5597,5539,4843,4625,168,170
"G5100490","1820","Virginia","510","Cumberland","0490","Cumberland",1988,1978,3556,3257,118,126
"G5100530","1820","Virginia","510","Dinwiddie","0530","Dinwiddie",2639,2734,4059,3692,326,342
"G5100550","1820","Virginia","510","Elizabeth City","0550","Elizabeth City",1175,901,819,824,41,29
"G5100570","1820","Virginia","510","Essex","0570","Essex",1762,1737,3112,2934,180,184
"G5100590","1820","Virginia","510","Fairfax","0590","Fairfax",3054,3170,2353,2320,261,246
"G5100610","1820","Virginia","510","Fauquier","0610","Fauquier",5702,5727,5803,5364,307,200
"G5100650","1820","Virginia","510","Fluvanna","0650","Fluvanna",1692,1683,1715,1491,68,55
"G5100670","1820","Virginia","510","Franklin","0670","Franklin",4157,4070,1779,1868,77,66
"G5100690","1820","Virginia","510","Frederick","0690","Frederick",8475,8082,3658,3521,505,465
"G5100710","1820","Virginia","510","Giles","0710","Giles",2150,2024,146,159,23,19
"G5100730","1820","Virginia","510","Gloucester","0730","Gloucester",1964,2044,2649,2559,214,248
"G5100750","1820","Virginia","510","Goochland","0750","Goochland",1889,1907,2919,2607,317,368
"G5100770","1820","Virginia","510","Grayson","0770","Grayson",2678,2492,173,172,50,33
"G5100775","1820","Virginia","510","Greenbrier","0775","Greenbrier",3228,2935,414,372,50,42
"G5100810","1820","Virginia","510","Greensville","0810","Greensville",1015,1041,2320,2192,141,149
"G5100830","1820","Virginia","510","Halifax","0830","Halifax",4380,4378,5005,4875,245,177
"G5100833","1820","Virginia","510","Hampshire","0833","Hampshire",4893,4614,675,604,52,51
"G5100850","1820","Virginia","510","Hanover","0850","Hanover",2971,3159,4396,4360,188,193
"G5100853","1820","Virginia","510","Hardy","0853","Hardy",2336,2270,485,429,86,94
"G5100857","1820","Virginia","510","Harrison","0857","Harrison",5484,4816,258,311,36,27
"G5100870","1820","Virginia","510","Henrico","0870","Henrico",2546,2772,2957,2460,394,471
"G5100890","1820","Virginia","510","Henry","0890","Henry",1650,1671,1021,1157,66,59
"G5100930","1820","Virginia","510","Isle Of Wight","0930","Isle Of Wight",2354,2529,2233,2064,448,490
"G5100950","1820","Virginia","510","James City","0950","James City",511,506,888,789,218,249
"G5100953","1820","Virginia","510","Jefferson","0953","Jefferson",4510,4197,2211,1921,131,117
"G5100957","1820","Virginia","510","Kanawha","0957","Kanawha",2949,2348,605,468,21,8
"G5100970","1820","Virginia","510","King And Queen","0970","King And Queen",3192,2268,3081,2960,140,157
"G5100990","1820","Virginia","510","King George","0990","King George",1175,1174,1783,1721,121,142
"G5101010","1820","Virginia","510","King William","1010","King William",1698,1751,3095,2915,114,124
"G5101030","1820","Virginia","510","Lancaster","1030","Lancaster",1176,1212,1446,1498,84,101
"G5101050","1820","Virginia","510","Lee","1050","Lee",1962,1923,169,197,2,3
"G5101053","1820","Virginia","510","Lewis","1053","Lewis",2134,1988,59,56,5,5
"G5101070","1820","Virginia","510","Loudoun","1070","Loudoun",8356,7788,2964,2765,406,423
"G5101090","1820","Virginia","510","Louisa","1090","Louisa",3055,2912,3925,3635,117,102
"G5101110","1820","Virginia","510","Lunenburg","1110","Lunenburg",1962,1911,3476,3187,67,59
"G5101130","1820","Virginia","510","Madison","1130","Madison",1904,1896,2346,2266,36,42
"G5101137","1820","Virginia","510","Mason","1137","Mason",2189,2056,291,302,14,16
"G5101150","1820","Virginia","510","Mathews","1150","Matthews",1757,1859,1504,1682,48,70
"G5101170","1820","Virginia","510","Mecklenburg","1170","Mecklenburg",3821,3889,5957,5445,340,334
"G5101190","1820","Virginia","510","Middlesex","1190","Middlesex",825,931,1136,1030,55,80
"G5101193","1820","Virginia","510","Monongalia","1193","Monongalia",5419,5149,191,184,61,56
"G5101197","1820","Virginia","510","Monroe","1197","Monroe",3014,2995,234,267,39,31
"G5101210","1820","Virginia","510","Montgomery","1210","Montgomery",3741,3706,639,616,16,15
"G5101215","1820","Virginia","510","Morgan","1215","Morgan",1236,1131,57,41,14,21
"G5101230","1820","Virginia","510","Nansemond","1230","Nansemond",2261,2314,2387,2139,684,709
"G5101250","1820","Virginia","510","Nelson","1250","Nelson",2179,2216,2915,2745,44,38
"G5101270","1820","Virginia","510","New Kent","1270","New Kent",1263,1274,1815,1944,145,189
"G5101275","1820","Virginia","510","Nicholas","1275","Nicholas",923,882,25,23,0,0
"G5101290","1820","Virginia","510","Norfolk","1290","Norfolk",4550,4092,3227,2697,417,475
"G5101310","1820","Virginia","510","Northampton","1310","Northampton",1629,1740,1695,1628,440,573
"G5101330","1820","Virginia","510","Northumberland","1330","Northumberland",2087,2047,1651,1617,320,294
"G5101350","1820","Virginia","510","Nottoway","1350","Nottoway",1386,1419,3314,3362,71,104
"G5101355","1820","Virginia","510","Ohio","1355","Ohio",4525,4195,221,198,30,13
"G5101370","1820","Virginia","510","Orange","1370","Orange",2637,2582,3921,3597,57,86
"G5101410","1820","Virginia","510","Patrick","1410","Patrick",1800,1976,593,620,51,49
"G5101415","1820","Virginia","510","Pendleton","1415","Pendleton",2258,2186,177,204,5,6
"G5101430","1820","Virginia","510","Pittsylvania","1430","Pittsylvania",6278,6348,4127,4357,114,89
"G5101450","1820","Virginia","510","Powhatan","1450","Powhatan",1306,1186,2921,2555,151,173
"G5101455","1820","Virginia","510","Preston","1455","Preston",1694,1648,50,30,6,0
"G5101470","1820","Virginia","510","Prince Edward","1470","Prince Edward",2295,2332,4010,3606,162,172
"G5101490","1820","Virginia","510","Prince George","1490","Prince George",1511,1608,2261,2062,278,310
"G5101510","1820","Virginia","510","Princess Anne","1510","Princess Anne",2323,2489,1916,1789,120,131
"G5101530","1820","Virginia","510","Prince William","1530","Prince William",2356,2405,2168,2212,114,164
"G5101557","1820","Virginia","510","Randolph","1557","Randolph",1670,1496,66,65,28,32
"G5101590","1820","Virginia","510","Richmond","1590","Richmond",1307,1442,1333,1331,147,146
"G5101630","1820","Virginia","510","Rockbridge","1630","Rockbridge",4644,4394,1319,1293,166,129
"G5101650","1820","Virginia","510","Rockingham","1650","Rockingham",6397,6249,995,876,135,132
"G5101670","1820","Virginia","510","Russell","1670","Russell",2524,2465,228,298,8,13
"G5101690","1820","Virginia","510","Scott","1690","Scott",1916,2076,128,130,8,5
"G5101710","1820","Virginia","510","Shenandoah","1710","Shenandoah",8187,8521,1017,884,143,174
"G5101750","1820","Virginia","510","Southampton","1750","Southampton",2959,3168,3601,3136,599,707
"G5101770","1820","Virginia","510","Spotsylvania","1770","Spotsylvania",2884,3055,4170,3554,256,335
"G5101790","1820","Virginia","510","Stafford","1790","Stafford",2264,2524,2312,2056,195,166
"G5101810","1820","Virginia","510","Surry","1810","Surry",1280,1362,1788,1552,308,304
"G5101830","1820","Virginia","510","Sussex","1830","Sussex",1975,2180,3707,3338,324,360
"G5101850","1820","Virginia","510","Tazewell","1850","Tazewell",1730,1705,226,237,9,9
"G5101855","1820","Virginia","510","Tyler","1855","Tyler",1116,1087,42,58,5,6
"G5101890","1820","Virginia","510","Warwick","1890","Warwick",290,330,479,475,23,11
"G5101910","1820","Virginia","510","Washington","1910","Washington",5360,5033,987,911,78,75
"G5101930","1820","Virginia","510","Westmoreland","1930","Westmoreland",1554,1477,1719,1674,230,247
"G5101953","1820","Virginia","510","Wood","1953","Wood",2614,2384,445,407,7,3
"G5101970","1820","Virginia","510","Wythe","1970","Wythe",4150,3961,734,799,19,29
"G5101990","1820","Virginia","510","York","1990","York",800,788,1069,1096,291,340
"G5107100","1820","Virginia","510","Norfolk City","7100","Norfolk City",2187,2431,1453,1808,229,370
"G5107300","1820","Virginia","510","Petersburg City","7300","Petersburg City",1725,1372,1195,1233,513,652
