GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ACU001,ACU002,ACU003,ACU004
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Free >> Male,Free >> Female,Slave >> Male,Slave >> Female
"G2101950","1840","Kentucky","210","Pike","1950","Pike",6,7,48,37
"G2101990","1840","Kentucky","210","Pulaski","1990","Pulaski",8,10,474,545
"G2102030","1840","Kentucky","210","Rockcastle","2030","Rockcastle",3,6,175,202
"G2102070","1840","Kentucky","210","Russell","2070","Russell",4,0,188,218
"G2102090","1840","Kentucky","210","Scott","2090","Scott",54,55,2737,2602
"G2102110","1840","Kentucky","210","Shelby","2110","Shelby",86,71,3225,3130
"G2102130","1840","Kentucky","210","Simpson","2130","Simpson",21,19,739,754
"G2102150","1840","Kentucky","210","Spencer","2150","Spencer",11,9,975,936
"G2102190","1840","Kentucky","210","Todd","2190","Todd",26,16,1927,1952
"G2102210","1840","Kentucky","210","Trigg","2210","Trigg",29,21,1011,1041
"G2102230","1840","Kentucky","210","Trimble","2230","Trimble",9,11,316,357
"G2102250","1840","Kentucky","210","Union","2250","Union",24,12,866,862
"G2102270","1840","Kentucky","210","Warren","2270","Warren",85,76,2126,2081
"G2102290","1840","Kentucky","210","Washington","2290","Washington",19,19,1277,1381
"G2102310","1840","Kentucky","210","Wayne","2310","Wayne",10,5,303,327
"G2102350","1840","Kentucky","210","Whitley","2350","Whitley",12,7,59,87
"G2102390","1840","Kentucky","210","Woodford","2390","Woodford",93,79,3056,2696
"G2200050","1840","Louisiana","220","Ascension","0050","Ascension",63,80,2519,2034
"G2200070","1840","Louisiana","220","Assumption","0070","Assumption",26,24,1599,1389
"G2200090","1840","Louisiana","220","Avoyelles","0090","Avoyelles",48,30,1794,1678
"G2200170","1840","Louisiana","220","Caddo","0170","Caddo",12,17,1479,1358
"G2200190","1840","Louisiana","220","Calcasieu","0190","Calcasieu",114,112,222,260
"G2200210","1840","Louisiana","220","Caldwell","0210","Caldwell",9,5,318,331
"G2200235","1840","Louisiana","220","Carroll","0235","Carroll",5,4,1544,1538
"G2200250","1840","Louisiana","220","Catahoula","0250","Catahoula",12,10,1004,994
"G2200270","1840","Louisiana","220","Claiborne","0270","Claiborne",25,19,1188,1107
"G2200290","1840","Louisiana","220","Concordia","0290","Concordia",17,14,4155,3848
"G2200330","1840","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",75,107,2099,2107
"G2200370","1840","Louisiana","220","East Feliciana","0370","East Feliciana",15,15,3953,3918
"G2200470","1840","Louisiana","220","Iberville","0470","Iberville",44,41,3099,2788
"G2200510","1840","Louisiana","220","Jefferson","0510","Jefferson",317,301,2881,2105
"G2200550","1840","Louisiana","220","Lafayette","0550","Lafayette",55,79,1653,1580
"G2200570","1840","Louisiana","220","Lafourche","0570","Lafourche",30,41,1736,1510
"G2200630","1840","Louisiana","220","Livingston","0630","Livingston",24,19,364,375
"G2200650","1840","Louisiana","220","Madison","0650","Madison",3,6,2002,1921
"G2200690","1840","Louisiana","220","Natchitoches","0690","Natchitoches",302,355,3418,3233
"G2200710","1840","Louisiana","220","Orleans","0710","Orleans",8438,10788,9795,13653
"G2200730","1840","Louisiana","220","Ouachita","0730","Ouachita",7,7,1254,1184
"G2200750","1840","Louisiana","220","Plaquemines","0750","Plaquemines",179,145,1965,1420
"G2200770","1840","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",174,207,2869,2561
"G2200790","1840","Louisiana","220","Rapides","0790","Rapides",188,190,5364,5147
"G2200870","1840","Louisiana","220","St Bernard","0870","St Bernard",33,32,1297,840
"G2200890","1840","Louisiana","220","St Charles","0890","St Charles",55,49,2264,1458
"G2200910","1840","Louisiana","220","St Helena","0910","St Helena",6,1,773,800
"G2200930","1840","Louisiana","220","St James","0930","St James",27,48,3237,2474
"G2200950","1840","Louisiana","220","St John The Baptist","0950","St John The Baptist",98,93,2002,1442
"G2200970","1840","Louisiana","220","St Landry","0970","St Landry",465,460,3710,3419
"G2200990","1840","Louisiana","220","St Martin","0990","St Martin",241,243,2529,2112
"G2201010","1840","Louisiana","220","St Mary","1010","St Mary",155,143,3471,2815
"G2201030","1840","Louisiana","220","St Tammany","1030","St Tammany",153,152,1121,819
"G2201090","1840","Louisiana","220","Terrebonne","1090","Terrebonne",17,18,1226,1074
"G2201110","1840","Louisiana","220","Union","1110","Union",2,0,267,296
"G2201170","1840","Louisiana","220","Washington","1170","Washington",2,0,391,400
"G2201210","1840","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",47,73,1695,1452
"G2201250","1840","Louisiana","220","West Feliciana","1250","West Feliciana",43,48,4272,4483
"G2300030","1840","Maine","230","Aroostook","0030","Aroostook",1,2,0,0
"G2300050","1840","Maine","230","Cumberland","0050","Cumberland",266,275,0,0
"G2300070","1840","Maine","230","Franklin","0070","Franklin",9,9,0,0
"G2300090","1840","Maine","230","Hancock","0090","Hancock",12,12,0,0
"G2300110","1840","Maine","230","Kennebec","0110","Kennebec",111,88,0,0
"G2300150","1840","Maine","230","Lincoln","0150","Lincoln",130,105,0,0
"G2300170","1840","Maine","230","Oxford","0170","Oxford",5,2,0,0
"G2300190","1840","Maine","230","Penobscot","0190","Penobscot",76,54,0,0
"G2300210","1840","Maine","230","Piscataquis","0210","Piscataquis",1,0,0,0
"G2300250","1840","Maine","230","Somerset","0250","Somerset",16,7,0,0
"G2300270","1840","Maine","230","Waldo","0270","Waldo",29,23,0,0
"G2300290","1840","Maine","230","Washington","0290","Washington",31,29,0,0
"G2300310","1840","Maine","230","York","0310","York",33,29,0,0
"G2400010","1840","Maryland","240","Allegany","0010","Allegany",113,102,374,438
"G2400030","1840","Maryland","240","Anne Arundel","0030","Anne Arundel",2513,2570,5179,4640
"G2400050","1840","Maryland","240","Baltimore","0050","Baltimore",8963,12490,3473,4122
"G2400090","1840","Maryland","240","Calvert","0090","Calvert",722,752,2104,2066
"G2400110","1840","Maryland","240","Caroline","0110","Caroline",861,859,397,355
"G2400130","1840","Maryland","240","Carroll","0130","Carroll",450,448,596,526
"G2400150","1840","Maryland","240","Cecil","0150","Cecil",1318,1233,708,644
"G2400170","1840","Maryland","240","Charles","0170","Charles",401,418,4615,4567
"G2400190","1840","Maryland","240","Dorchester","0190","Dorchester",1925,2062,2216,2011
"G2400210","1840","Maryland","240","Frederick","0210","Frederick",1443,1542,2361,2084
"G2400250","1840","Maryland","240","Harford","0250","Harford",1257,1179,1354,1289
"G2400290","1840","Maryland","240","Kent","0290","Kent",1275,1216,1517,1218
"G2400310","1840","Maryland","240","Montgomery","0310","Montgomery",646,667,2799,2578
"G2400330","1840","Maryland","240","Prince Georges","0330","Prince Georges",585,495,5414,5222
"G2400350","1840","Maryland","240","Queen Anne's","0350","Queen Anne's",1308,1233,2088,1872
"G2400370","1840","Maryland","240","St Mary's","0370","St Mary's",699,694,2926,2835
"G2400390","1840","Maryland","240","Somerset","0390","Somerset",1240,1406,2863,2514
"G2400410","1840","Maryland","240","Talbot","0410","Talbot",1170,1170,1907,1780
"G2400430","1840","Maryland","240","Washington","0430","Washington",772,808,1288,1258
"G2400470","1840","Maryland","240","Worcester","0470","Worcester",1526,1547,1889,1650
"G2500010","1840","Massachusetts","250","Barnstable","0010","Barnstable",218,219,0,0
"G2500030","1840","Massachusetts","250","Berkshire","0030","Berkshire",654,624,0,0
"G2500050","1840","Massachusetts","250","Bristol","0050","Bristol",626,604,0,0
"G2500070","1840","Massachusetts","250","Dukes","0070","Dukes",13,7,0,0
"G2500090","1840","Massachusetts","250","Essex","0090","Essex",233,274,0,0
"G2500110","1840","Massachusetts","250","Franklin","0110","Franklin",52,36,0,0
"G2500130","1840","Massachusetts","250","Hampden","0130","Hampden",152,160,0,0
"G2500150","1840","Massachusetts","250","Hampshire","0150","Hampshire",106,95,0,0
"G2500170","1840","Massachusetts","250","Middlesex","0170","Middlesex",285,208,0,0
"G2500190","1840","Massachusetts","250","Nantucket","0190","Nantucket",423,156,0,0
"G2500210","1840","Massachusetts","250","Norfolk","0210","Norfolk",63,97,0,0
"G2500230","1840","Massachusetts","250","Plymouth","0230","Plymouth",161,192,0,0
"G2500250","1840","Massachusetts","250","Suffolk","0250","Suffolk",1407,1031,0,0
"G2500270","1840","Massachusetts","250","Worcester","0270","Worcester",261,312,0,0
"G2600050","1840","Michigan","260","Allegan","0050","Allegan",1,0,0,0
"G2600150","1840","Michigan","260","Barry","0150","Barry",0,0,0,0
"G2600210","1840","Michigan","260","Berrien","0210","Berrien",23,16,0,0
"G2600230","1840","Michigan","260","Branch","0230","Branch",5,0,0,0
"G2600250","1840","Michigan","260","Calhoun","0250","Calhoun",14,9,0,0
"G2600270","1840","Michigan","260","Cass","0270","Cass",4,4,0,0
"G2600330","1840","Michigan","260","Chippewa","0330","Chippewa",3,2,0,0
"G2600370","1840","Michigan","260","Clinton","0370","Clinton",0,0,0,0
"G2600450","1840","Michigan","260","Eaton","0450","Eaton",0,0,0,0
"G2600490","1840","Michigan","260","Genesee","0490","Genesee",4,5,0,0
"G2600590","1840","Michigan","260","Hillsdale","0590","Hillsdale",11,5,0,0
"G2600650","1840","Michigan","260","Ingham","0650","Ingham",1,0,0,0
"G2600670","1840","Michigan","260","Ionia","0670","Ionia",1,0,0,0
"G2600750","1840","Michigan","260","Jackson","0750","Jackson",16,10,0,0
"G2600770","1840","Michigan","260","Kalamazoo","0770","Kalamazoo",8,6,0,0
"G2600810","1840","Michigan","260","Kent","0810","Kent",2,0,0,0
"G2600870","1840","Michigan","260","Lapeer","0870","Lapeer",8,8,0,0
"G2600910","1840","Michigan","260","Lenawee","0910","Lenawee",24,9,0,0
"G2600930","1840","Michigan","260","Livingston","0930","Livingston",2,2,0,0
"G2600990","1840","Michigan","260","Macomb","0990","Macomb",10,13,0,0
"G2601095","1840","Michigan","260","Michilimackinac","1095","Michilimackinac",1,0,0,0
"G2601150","1840","Michigan","260","Monroe","1150","Monroe",28,27,0,0
"G2601250","1840","Michigan","260","Oakland","1250","Oakland",32,24,0,0
"G2601270","1840","Michigan","260","Oceana","1270","Oceana",1,1,0,0
"G2601390","1840","Michigan","260","Ottawa","1390","Ottawa",0,0,0,0
"G2601450","1840","Michigan","260","Saginaw","1450","Saginaw",0,0,0,0
"G2601470","1840","Michigan","260","St Clair","1470","St Clair",5,11,0,0
"G2601490","1840","Michigan","260","St Joseph","1490","St Joseph",3,1,0,0
"G2601550","1840","Michigan","260","Shiawassee","1550","Shiawassee",1,0,0,0
"G2601590","1840","Michigan","260","Van Buren","1590","Van Buren",1,0,0,0
"G2601610","1840","Michigan","260","Washtenaw","1610","Washtenaw",41,29,0,0
"G2601630","1840","Michigan","260","Wayne","1630","Wayne",143,132,0,0
"G2800010","1840","Mississippi","280","Adams","0010","Adams",141,142,7131,7110
"G2800050","1840","Mississippi","280","Amite","0050","Amite",20,9,2927,2814
"G2800070","1840","Mississippi","280","Attala","0070","Attala",136,130,538,544
"G2800110","1840","Mississippi","280","Bolivar","0110","Bolivar",1,0,521,450
"G2800150","1840","Mississippi","280","Carroll","0150","Carroll",1,0,2689,2655
"G2800170","1840","Mississippi","280","Chickasaw","0170","Chickasaw",1,0,403,403
"G2800190","1840","Mississippi","280","Choctaw","0190","Choctaw",3,0,766,798
"G2800210","1840","Mississippi","280","Claiborne","0210","Claiborne",56,37,4938,4815
"G2800230","1840","Mississippi","280","Clarke","0230","Clarke",1,0,448,461
"G2800270","1840","Mississippi","280","Coahoma","0270","Coahoma",0,0,273,251
"G2800290","1840","Mississippi","280","Copiah","0290","Copiah",6,1,1844,1942
"G2800310","1840","Mississippi","280","Covington","0310","Covington",1,0,408,447
"G2800330","1840","Mississippi","280","DeSoto","0330","De Soto",4,2,1503,1518
"G2800370","1840","Mississippi","280","Franklin","0370","Franklin",6,7,1319,1380
"G2800410","1840","Mississippi","280","Greene","0410","Greene",0,0,195,234
"G2800450","1840","Mississippi","280","Hancock","0450","Hancock",41,33,556,500
"G2800490","1840","Mississippi","280","Hinds","0490","Hinds",24,21,6317,5958
"G2800510","1840","Mississippi","280","Holmes","0510","Holmes",18,16,2839,2727
"G2800570","1840","Mississippi","280","Itawamba","0570","Itawamba",3,0,342,378
"G2800590","1840","Mississippi","280","Jackson","0590","Jackson",38,44,214,210
"G2800610","1840","Mississippi","280","Jasper","0610","Jasper",0,2,631,624
"G2800630","1840","Mississippi","280","Jefferson","0630","Jefferson",38,47,4606,4570
"G2800670","1840","Mississippi","280","Jones","0670","Jones",0,0,85,79
"G2800690","1840","Mississippi","280","Kemper","0690","Kemper",5,6,1532,1508
"G2800710","1840","Mississippi","280","Lafayette","0710","Lafayette",7,6,1412,1430
"G2800750","1840","Mississippi","280","Lauderdale","0750","Lauderdale",9,4,609,744
"G2800770","1840","Mississippi","280","Lawrence","0770","Lawrence",0,0,1159,1113
"G2800790","1840","Mississippi","280","Leake","0790","Leake",6,0,254,288
"G2800870","1840","Mississippi","280","Lowndes","0870","Lowndes",5,7,4384,4387
"G2800890","1840","Mississippi","280","Madison","0890","Madison",6,5,5801,5732
"G2800910","1840","Mississippi","280","Marion","0910","Marion",0,0,862,847
"G2800930","1840","Mississippi","280","Marshall","0930","Marshall",5,3,4164,4096
"G2800950","1840","Mississippi","280","Monroe","0950","Monroe",12,9,2073,2010
"G2800990","1840","Mississippi","280","Neshoba","0990","Neshoba",0,0,350,394
"G2801010","1840","Mississippi","280","Newton","1010","Newton",1,0,263,283
"G2801030","1840","Mississippi","280","Noxubee","1030","Noxubee",0,1,3170,2987
"G2801050","1840","Mississippi","280","Oktibbeha","1050","Oktibbeha",9,6,1068,1129
"G2801070","1840","Mississippi","280","Panola","1070","Panola",4,1,1311,1104
"G2801110","1840","Mississippi","280","Perry","1110","Perry",3,7,218,236
"G2801130","1840","Mississippi","280","Pike","1130","Pike",9,12,1160,1214
"G2801150","1840","Mississippi","280","Pontotoc","1150","Pontotoc",2,1,787,806
"G2801210","1840","Mississippi","280","Rankin","1210","Rankin",3,0,899,952
"G2801230","1840","Mississippi","280","Scott","1230","Scott",2,0,225,237
"G2801270","1840","Mississippi","280","Simpson","1270","Simpson",0,0,433,474
"G2801290","1840","Mississippi","280","Smith","1290","Smith",0,0,202,217
"G2801350","1840","Mississippi","280","Tallahatchie","1350","Tallahatchie",2,0,842,749
"G2801390","1840","Mississippi","280","Tippah","1390","Tippah",1,0,1043,1091
"G2801410","1840","Mississippi","280","Tishomingo","1410","Tishomingo",1,0,389,439
"G2801430","1840","Mississippi","280","Tunica","1430","Tunica",2,2,128,123
"G2801490","1840","Mississippi","280","Warren","1490","Warren",50,54,5170,5323
"G2801510","1840","Mississippi","280","Washington","1510","Washington",1,5,3466,3161
"G2801530","1840","Mississippi","280","Wayne","1530","Wayne",0,0,508,471
"G2801570","1840","Mississippi","280","Wilkinson","1570","Wilkinson",12,18,5341,5553
"G2801590","1840","Mississippi","280","Winston","1590","Winston",0,0,811,778
"G2801610","1840","Mississippi","280","Yalobusha","1610","Yalobusha",4,3,2863,2738
"G2801630","1840","Mississippi","280","Yazoo","1630","Yazoo",15,10,3613,3726
"G2900070","1840","Missouri","290","Audrain","0070","Audrain",0,2,89,106
"G2900090","1840","Missouri","290","Barry","0090","Barry",5,3,126,143
"G2900150","1840","Missouri","290","Benton","0150","Benton",0,0,142,119
"G2900190","1840","Missouri","290","Boone","0190","Boone",14,10,1506,1502
"G2900210","1840","Missouri","290","Buchanan","0210","Buchanan",6,0,112,115
"G2900250","1840","Missouri","290","Caldwell","0250","Caldwell",0,0,23,38
"G2900270","1840","Missouri","290","Callaway","0270","Callaway",13,9,1513,1629
"G2900310","1840","Missouri","290","Cape Girardeau","0310","Cape Girardeau",11,3,664,661
"G2900330","1840","Missouri","290","Carroll","0330","Carroll",0,0,152,116
"G2900410","1840","Missouri","290","Chariton","0410","Chariton",10,10,484,533
"G2900450","1840","Missouri","290","Clark","0450","Clark",2,1,213,207
"G2900470","1840","Missouri","290","Clay","0470","Clay",17,17,938,937
"G2900490","1840","Missouri","290","Clinton","0490","Clinton",1,2,88,103
"G2900510","1840","Missouri","290","Cole","0510","Cole",28,6,590,589
"G2900530","1840","Missouri","290","Cooper","0530","Cooper",7,8,1066,1091
"G2900550","1840","Missouri","290","Crawford","0550","Crawford",0,0,91,93
"G2900610","1840","Missouri","290","Daviess","0610","Daviess",1,1,56,78
"G2900710","1840","Missouri","290","Franklin","0710","Franklin",9,5,528,526
"G2900730","1840","Missouri","290","Gasconade","0730","Gasconade",1,0,158,184
"G2900770","1840","Missouri","290","Greene","0770","Greene",1,1,330,347
"G2900890","1840","Missouri","290","Howard","0890","Howard",23,21,1845,1838
"G2900950","1840","Missouri","290","Jackson","0950","Jackson",3,3,686,675
"G2900990","1840","Missouri","290","Jefferson","0990","Jefferson",6,6,188,136
"G2901010","1840","Missouri","290","Johnson","1010","Johnson",3,1,249,307
"G2901070","1840","Missouri","290","Lafayette","1070","Lafayette",13,13,977,1013
"G2901110","1840","Missouri","290","Lewis","1110","Lewis",7,2,504,561
"G2901130","1840","Missouri","290","Lincoln","1130","Lincoln",3,1,772,800
"G2901150","1840","Missouri","290","Linn","1150","Linn",0,0,81,62
"G2901170","1840","Missouri","290","Livingston","1170","Livingston",0,2,115,126
"G2901210","1840","Missouri","290","Macon","1210","Macon",1,0,113,112
"G2901230","1840","Missouri","290","Madison","1230","Madison",13,9,319,292
"G2901270","1840","Missouri","290","Marion","1270","Marion",28,14,1114,1228
"G2901310","1840","Missouri","290","Miller","1310","Miller",0,1,60,51
"G2901370","1840","Missouri","290","Monroe","1370","Monroe",4,1,794,893
"G2901390","1840","Missouri","290","Montgomery","1390","Montgomery",13,7,416,411
"G2901410","1840","Missouri","290","Morgan","1410","Morgan",4,0,242,270
"G2901430","1840","Missouri","290","New Madrid","1430","New Madrid",2,3,406,395
"G2901450","1840","Missouri","290","Newton","1450","Newton",4,1,73,96
"G2901570","1840","Missouri","290","Perry","1570","Perry",5,9,375,403
"G2901590","1840","Missouri","290","Pettis","1590","Pettis",1,0,264,288
"G2901630","1840","Missouri","290","Pike","1630","Pike",6,11,1195,1277
"G2901650","1840","Missouri","290","Platte","1650","Platte",4,2,405,453
"G2901670","1840","Missouri","290","Polk","1670","Polk",4,5,203,259
"G2901690","1840","Missouri","290","Pulaski","1690","Pulaski",0,1,89,101
"G2901730","1840","Missouri","290","Ralls","1730","Ralls",8,3,612,597
"G2901750","1840","Missouri","290","Randolph","1750","Randolph",5,7,682,755
"G2901770","1840","Missouri","290","Ray","1770","Ray",4,1,426,408
"G2901810","1840","Missouri","290","Ripley","1810","Ripley",2,0,35,42
"G2901815","1840","Missouri","290","Rives","1815","Rives",3,1,321,315
"G2901830","1840","Missouri","290","St Charles","1830","St Charles",11,17,798,799
"G2901860","1840","Missouri","290","Ste Genevieve","1860","Ste Genevieve",19,18,291,257
"G2901870","1840","Missouri","290","St Francois","1870","St Francois",5,11,277,224
"G2901890","1840","Missouri","290","St Louis","1890","St Louis",474,384,2298,2318
"G2901950","1840","Missouri","290","Saline","1950","Saline",4,4,802,813
"G2902010","1840","Missouri","290","Scott","2010","Scott",8,10,449,479
"G2902050","1840","Missouri","290","Shelby","2050","Shelby",7,4,245,213
"G2902070","1840","Missouri","290","Stoddard","2070","Stoddard",1,0,37,34
"G2902130","1840","Missouri","290","Taney","2130","Taney",6,6,22,18
"G2902155","1840","Missouri","290","Van Buren","2155","Van Buren",20,11,106,108
"G2902190","1840","Missouri","290","Warren","2190","Warren",2,0,342,354
"G2902210","1840","Missouri","290","Washington","2210","Washington",23,19,499,424
"G2902230","1840","Missouri","290","Wayne","2230","Wayne",8,4,146,176
"G3300050","1840","New Hampshire","330","Cheshire","0050","Cheshire",25,15,0,0
"G3300070","1840","New Hampshire","330","Coos","0070","Coos",2,1,0,0
"G3300090","1840","New Hampshire","330","Grafton","0090","Grafton",12,19,0,0
"G3300110","1840","New Hampshire","330","Hillsborough","0110","Hillsborough",44,51,0,1
"G3300130","1840","New Hampshire","330","Merrimack","0130","Merrimack",60,46,0,0
"G3300150","1840","New Hampshire","330","Rockingham","0150","Rockingham",79,120,0,0
"G3300170","1840","New Hampshire","330","Strafford","0170","Strafford",10,22,0,0
"G3300190","1840","New Hampshire","330","Sullivan","0190","Sullivan",16,15,0,0
"G3400010","1840","New Jersey","340","Atlantic","0010","Atlantic",120,114,0,0
"G3400030","1840","New Jersey","340","Bergen","0030","Bergen",843,686,118,104
"G3400050","1840","New Jersey","340","Burlington","0050","Burlington",828,815,0,1
"G3400090","1840","New Jersey","340","Cape May","0090","Cape May",92,106,0,0
"G3400110","1840","New Jersey","340","Cumberland","0110","Cumberland",475,421,0,0
"G3400130","1840","New Jersey","340","Essex","0130","Essex",899,1009,13,7
"G3400150","1840","New Jersey","340","Gloucester","0150","Gloucester",836,795,0,0
"G3400170","1840","New Jersey","340","Hudson","0170","Hudson",197,122,4,7
"G3400190","1840","New Jersey","340","Hunterdon","0190","Hunterdon",389,389,16,19
"G3400210","1840","New Jersey","340","Mercer","0210","Mercer",1112,1207,10,12
"G3400230","1840","New Jersey","340","Middlesex","0230","Middlesex",715,820,10,18
"G3400250","1840","New Jersey","340","Monmouth","0250","Monmouth",1108,1072,32,53
"G3400270","1840","New Jersey","340","Morris","0270","Morris",485,426,17,20
"G3400310","1840","New Jersey","340","Passaic","0310","Passaic",377,329,32,54
"G3400330","1840","New Jersey","340","Salem","0330","Salem",967,829,0,1
"G3400350","1840","New Jersey","340","Somerset","0350","Somerset",915,737,43,62
"G3400370","1840","New Jersey","340","Sussex","0370","Sussex",180,174,4,9
"G3400410","1840","New Jersey","340","Warren","0410","Warren",242,213,4,4
"G3600010","1840","New York","360","Albany","0010","Albany",595,719,0,0
"G3600030","1840","New York","360","Allegany","0030","Allegany",67,75,0,0
"G3600070","1840","New York","360","Broome","0070","Broome",109,114,0,0
"G3600090","1840","New York","360","Cattaraugus","0090","Cattaraugus",17,21,0,0
"G3600110","1840","New York","360","Cayuga","0110","Cayuga",238,197,0,0
"G3600130","1840","New York","360","Chautauqua","0130","Chautauqua",57,67,0,0
"G3600150","1840","New York","360","Chemung","0150","Chemung",68,45,0,0
"G3600170","1840","New York","360","Chenango","0170","Chenango",140,133,0,0
"G3600190","1840","New York","360","Clinton","0190","Clinton",48,38,0,0
"G3600210","1840","New York","360","Columbia","0210","Columbia",739,817,0,0
"G3600230","1840","New York","360","Cortland","0230","Cortland",21,25,0,0
"G3600250","1840","New York","360","Delaware","0250","Delaware",100,90,0,0
"G3600270","1840","New York","360","Dutchess","0270","Dutchess",1112,1158,0,0
"G3600290","1840","New York","360","Erie","0290","Erie",328,280,0,0
"G3600310","1840","New York","360","Essex","0310","Essex",47,31,0,0
"G3600330","1840","New York","360","Franklin","0330","Franklin",2,1,0,0
"G3600350","1840","New York","360","Fulton","0350","Fulton",58,56,0,0
"G3600370","1840","New York","360","Genesee","0370","Genesee",64,51,0,0
"G3600390","1840","New York","360","Greene","0390","Greene",446,447,0,0
"G3600410","1840","New York","360","Hamilton","0410","Hamilton",1,2,0,0
"G3600430","1840","New York","360","Herkimer","0430","Herkimer",143,144,0,0
"G3600450","1840","New York","360","Jefferson","0450","Jefferson",70,71,0,0
"G3600470","1840","New York","360","Kings","0470","Kings",1368,1475,0,3
"G3600490","1840","New York","360","Lewis","0490","Lewis",25,28,0,0
"G3600510","1840","New York","360","Livingston","0510","Livingston",63,77,0,0
"G3600530","1840","New York","360","Madison","0530","Madison",117,106,0,0
"G3600550","1840","New York","360","Monroe","0550","Monroe",341,314,0,0
"G3600570","1840","New York","360","Montgomery","0570","Montgomery",263,325,0,0
"G3600610","1840","New York","360","New York","0610","New York",6923,9435,0,0
"G3600630","1840","New York","360","Niagara","0630","Niagara",143,98,0,0
"G3600650","1840","New York","360","Oneida","0650","Oneida",323,321,0,0
"G3600670","1840","New York","360","Onondaga","0670","Onondaga",229,248,0,0
"G3600690","1840","New York","360","Ontario","0690","Ontario",315,349,0,0
"G3600710","1840","New York","360","Orange","0710","Orange",1124,1168,0,0
"G3600730","1840","New York","360","Orleans","0730","Orleans",37,32,0,0
"G3600750","1840","New York","360","Oswego","0750","Oswego",105,110,0,0
"G3600770","1840","New York","360","Otsego","0770","Otsego",112,110,0,0
"G3600790","1840","New York","360","Putnam","0790","Putnam",93,74,0,1
"G3600810","1840","New York","360","Queens","0810","Queens",1755,1754,0,0
"G3600830","1840","New York","360","Rensselaer","0830","Rensselaer",608,582,0,0
"G3600850","1840","New York","360","Richmond","0850","Richmond",250,233,0,0
"G3600870","1840","New York","360","Rockland","0870","Rockland",227,205,0,0
"G3600890","1840","New York","360","St Lawrence","0890","St Lawrence",19,16,0,0
"G3600910","1840","New York","360","Saratoga","0910","Saratoga",306,343,0,0
"G3600930","1840","New York","360","Schenectady","0930","Schenectady",191,219,0,0
"G3600950","1840","New York","360","Schoharie","0950","Schoharie",253,240,0,0
"G3600990","1840","New York","360","Seneca","0990","Seneca",100,99,0,0
"G3601010","1840","New York","360","Steuben","1010","Steuben",145,143,0,0
"G3601030","1840","New York","360","Suffolk","1030","Suffolk",1155,1022,0,0
"G3601050","1840","New York","360","Sullivan","1050","Sullivan",40,40,0,0
"G3601070","1840","New York","360","Tioga","1070","Tioga",92,70,0,0
"G3601090","1840","New York","360","Tompkins","1090","Tompkins",134,119,0,0
"G3601110","1840","New York","360","Ulster","1110","Ulster",854,950,0,0
"G3601130","1840","New York","360","Warren","1130","Warren",18,14,0,0
"G3601150","1840","New York","360","Washington","1150","Washington",138,134,0,0
"G3601170","1840","New York","360","Wayne","1170","Wayne",116,106,0,0
"G3601190","1840","New York","360","Westchester","1190","Westchester",1288,1012,0,0
"G3601230","1840","New York","360","Yates","1230","Yates",69,65,0,0
"G3700070","1840","North Carolina","370","Anson","0070","Anson",72,68,2625,2679
"G3700090","1840","North Carolina","370","Ashe","0090","Ashe",32,27,254,243
"G3700130","1840","North Carolina","370","Beaufort","0130","Beaufort",347,356,2352,2120
"G3700150","1840","North Carolina","370","Bertie","0150","Bertie",155,148,3369,3359
"G3700170","1840","North Carolina","370","Bladen","0170","Bladen",137,155,1725,1688
"G3700190","1840","North Carolina","370","Brunswick","0190","Brunswick",180,194,1060,1059
"G3700210","1840","North Carolina","370","Buncombe","0210","Buncombe",40,47,591,608
"G3700230","1840","North Carolina","370","Burke","0230","Burke",133,131,1593,1623
"G3700250","1840","North Carolina","370","Cabarrus","0250","Cabarrus",53,56,1111,1068
"G3700290","1840","North Carolina","370","Camden","0290","Camden",86,72,885,776
"G3700310","1840","North Carolina","370","Carteret","0310","Carteret",55,89,683,677
"G3700330","1840","North Carolina","370","Caswell","0330","Caswell",167,159,3564,3460
"G3700370","1840","North Carolina","370","Chatham","0370","Chatham",176,141,2632,2684
"G3700390","1840","North Carolina","370","Cherokee","0390","Cherokee",11,12,93,106
"G3700410","1840","North Carolina","370","Chowan","0410","Chowan",69,91,1841,1824
"G3700470","1840","North Carolina","370","Columbus","0470","Columbus",35,21,514,572
"G3700490","1840","North Carolina","370","Craven","0490","Craven",497,615,2781,2921
"G3700510","1840","North Carolina","370","Cumberland","0510","Cumberland",404,458,2650,2742
"G3700530","1840","North Carolina","370","Currituck","0530","Currituck",70,79,1102,998
"G3700570","1840","North Carolina","370","Davidson","0570","Davidson",62,69,1211,1327
"G3700590","1840","North Carolina","370","Davie","0590","Davie",52,40,919,969
"G3700610","1840","North Carolina","370","Duplin","0610","Duplin",145,116,2364,2313
"G3700650","1840","North Carolina","370","Edgecombe","0650","Edgecombe",180,174,3860,3579
"G3700690","1840","North Carolina","370","Franklin","0690","Franklin",216,217,2739,2581
"G3700730","1840","North Carolina","370","Gates","0730","Gates",190,192,1778,1864
